User;GameElement;QuestionCount;CorrectCount;QuizCount;PassedQuizCount;FullyCompletedLessonCount;Time;RestartedQuizCount;Gender;achiever;player;socialiser;freeSpirit;disruptor;philanthropist;micoI; miacI; mistI; meidI; meinI; mereI; amotI; micoF; miacF; mistF; meidF; meinF; mereF; amotF; micoVar; miacVar; mistVar; meidVar; meinVar; mereVar; amotVar
elevejf05;avatar;188;93;34;12;3;01:57:18;2;Female;6;12;1;9;-5;6;12;13;10;8;14;20;10;15;20;19;12;19;17;10;3;7;9;4;5;-3;0
elevejf06;ranking;163;97;35;12;2;02:44:24;2;Female;11;12;-12;10;-2;8;19;16;18;20;18;17;4;16;17;17;20;15;14;7;-3;1;-1;0;-3;-3;3
elevejf07;score;101;52;21;7;0;01:43:22;1;Female;9;8;7;10;-7;12;17;18;17;18;16;18;4;15;17;16;19;18;18;8;-2;-1;-1;1;2;0;4
elevejf08;badges;100;57;20;8;1;01:10:44;2;Female;3;9;10;10;-3;12;15;18;10;15;19;20;4;12;17;13;16;18;19;8;-3;-1;3;1;-1;-1;4
elevejf10;progress;73;37;17;7;0;01:16:53;2;Female;10;8;11;10;-2;5;16;19;17;20;18;19;7;12;20;15;20;18;15;7;-4;1;-2;0;0;-4;0
elevejf11;avatar;124;82;27;13;2;01:41:19;2;Female;10;9;0;8;-6;6;15;20;11;11;16;18;8;13;20;16;14;20;20;9;-2;0;5;3;4;2;1
elevejg02;badges;170;104;32;16;4;02:46:50;4;Male;-1;12;6;4;6;-4;14;17;11;14;16;16;6;14;18;14;12;15;13;8;0;1;3;-2;-1;-3;2
elevejg03;timer;159;85;27;7;2;01:45:25;0;Male;-8;9;7;3;-7;-3;5;4;5;4;5;12;14;13;7;6;4;7;12;15;8;3;1;0;2;0;1
elevejg04;progress;116;81;26;9;2;01:38:39;1;Male;6;11;6;7;0;9;15;18;15;9;18;19;6;15;20;19;15;17;18;8;0;2;4;6;-1;-1;2
elevejg05;avatar;135;66;23;6;0;01:54:43;3;Male;-9;12;8;-9;-6;-4;6;8;5;12;7;16;13;7;12;5;6;8;17;11;1;4;0;-6;1;1;-2
elevejg06;ranking;189;88;28;4;1;02:39:57;2;Male;-4;12;8;9;6;3;5;8;6;5;6;18;9;4;4;6;9;6;16;10;-1;-4;0;4;0;-2;1
elevejg07;score;160;84;33;10;2;02:08:02;6;Male;3;7;10;5;1;6;17;20;14;19;19;16;4;12;15;15;16;12;10;7;-5;-5;1;-3;-7;-6;3
elevejg09;timer;174;82;29;6;1;02:29:00;2;Male;9;6;10;11;-2;12;11;9;8;16;13;19;8;12;15;9;20;14;19;17;1;6;1;4;1;0;9
elevejg10;progress;145;91;23;10;1;02:15:13;3;Male;0;9;12;12;0;12;13;15;15;12;20;20;7;14;18;11;13;17;20;10;1;3;-4;1;-3;0;3
elevejg15;score;282;117;50;9;1;03:17:47;7;Male;9;9;7;12;7;12;17;20;16;20;18;14;6;15;19;15;18;19;18;13;-2;-1;-1;-2;1;4;7
eleveaf02;badges;139;63;29;7;1;01:40:24;1;Female;4;10;7;5;-1;3;13;20;9;10;15;15;10;8;16;7;10;11;10;11;-5;-4;-2;0;-4;-5;1
eleveaf04;progress;134;68;21;4;0;01:28:37;4;Female;5;6;10;12;3;5;14;18;7;7;12;20;13;13;18;11;11;14;15;11;-1;0;4;4;2;-5;-2
eleveaf05;avatar;148;72;27;5;0;01:58:38;2;Female;-6;11;7;0;0;9;11;14;6;18;16;19;9;11;19;9;20;18;14;8;0;5;3;2;2;-5;-1
eleveaf06;ranking;251;211;41;33;7;03:06:26;10;Female;11;5;0;7;1;8;19;19;20;20;16;18;8;16;16;16;20;18;17;11;-3;-3;-4;0;2;-1;3
eleveaf07;score;139;74;29;10;0;02:04:33;4;Female;-3;-1;7;7;-6;-3;7;13;4;16;10;10;11;9;14;5;20;13;14;8;2;1;1;4;3;4;-3
eleveaf08;badges;189;78;31;1;0;01:59:29;2;Female;2;-4;-1;3;-5;3;15;11;10;10;10;13;6;13;18;14;19;15;18;7;-2;7;4;9;5;5;1
eleveaf09;timer;128;51;22;6;0;01:50:13;0;Female;6;-3;5;12;-12;8;10;13;7;14;18;16;14;12;16;14;20;18;20;10;2;3;7;6;0;4;-4
